,year,state,state_po,county_name,county_fips,party,candidatevotes,POPESTIMATE2019,INTERNATIONALMIG2019,"Share with Open Auto/Retail Debt, All","Share with Open Auto Debt, Communities of Color","Share with Open Auto Debt, Majority White Communities","Average household income, 2019 (ACS)","Average non-white household income, 2019 (ACS)","Average white, non-Hispanic household income, 2019 (ACS)"
134,2020,ALABAMA,AL,CLARKE,1025.0,OTHER,56,23622.0,-5.0,255488270.62243682,50.0,166212410.9745132,54687.0,39235,66439.0
139,2020,ALABAMA,AL,CLARKE,1025.0,REPUBLICAN,7324,23622.0,-5.0,255488270.62243682,50.0,166212410.9745132,54687.0,39235,66439.0
144,2020,ALABAMA,AL,CLAY,1027.0,DEMOCRAT,1267,13235.0,-2.0,70196080.1134725,50.0,46796598.4988025,57585.0,41044,61198.0
162,2020,ALABAMA,AL,CLAY,1027.0,OTHER,62,13235.0,-2.0,70196080.1134725,50.0,46796598.4988025,57585.0,41044,61198.0
180,2020,ALABAMA,AL,CLAY,1027.0,REPUBLICAN,5601,13235.0,-2.0,70196080.1134725,50.0,46796598.4988025,57585.0,41044,61198.0
198,2020,ALABAMA,AL,CLEBURNE,1029.0,DEMOCRAT,675,14910.0,-11.0,95274893.64833999,50.0,72008483.5953,57990.0,48760,58698.0
200,2020,ALABAMA,AL,CLEBURNE,1029.0,OTHER,68,14910.0,-11.0,95274893.64833999,50.0,72008483.5953,57990.0,48760,58698.0
202,2020,ALABAMA,AL,CLEBURNE,1029.0,REPUBLICAN,6484,14910.0,-11.0,95274893.64833999,50.0,72008483.5953,57990.0,48760,58698.0
204,2020,ALABAMA,AL,COFFEE,1031.0,DEMOCRAT,5076,52342.0,34.0,1207260261.3073626,50.0,963366382.631176,70079.0,52097,76975.0
207,2020,ALABAMA,AL,COFFEE,1031.0,OTHER,300,52342.0,34.0,1207260261.3073626,50.0,963366382.631176,70079.0,52097,76975.0
210,2020,ALABAMA,AL,COFFEE,1031.0,REPUBLICAN,16899,52342.0,34.0,1207260261.3073626,50.0,963366382.631176,70079.0,52097,76975.0
213,2020,ALABAMA,AL,COLBERT,1033.0,DEMOCRAT,8343,55241.0,73.0,1154785684.0139196,50.0,881986178.060803,60904.0,42998,65431.0
214,2020,ALABAMA,AL,COLBERT,1033.0,OTHER,340,55241.0,73.0,1154785684.0139196,50.0,881986178.060803,60904.0,42998,65431.0
215,2020,ALABAMA,AL,COLBERT,1033.0,REPUBLICAN,19203,55241.0,73.0,1154785684.0139196,50.0,881986178.060803,60904.0,42998,65431.0
216,2020,ALABAMA,AL,CONECUH,1035.0,DEMOCRAT,2966,12067.0,1.0,56412782.773410805,44124996.2254167,43683746.699999996,47286.0,40122,54421.0
217,2020,ALABAMA,AL,CONECUH,1035.0,OTHER,33,12067.0,1.0,56412782.773410805,44124996.2254167,43683746.699999996,47286.0,40122,54421.0
218,2020,ALABAMA,AL,CONECUH,1035.0,REPUBLICAN,3442,12067.0,1.0,56412782.773410805,44124996.2254167,43683746.699999996,47286.0,40122,54421.0
219,2020,ALABAMA,AL,COOSA,1037.0,DEMOCRAT,1796,10663.0,13.0,47797274.9552718,50.0,32336578.1120053,56017.0,37476,63947.0
220,2020,ALABAMA,AL,COOSA,1037.0,OTHER,52,10663.0,13.0,47797274.9552718,50.0,32336578.1120053,56017.0,37476,63947.0
221,2020,ALABAMA,AL,COOSA,1037.0,REPUBLICAN,3631,10663.0,13.0,47797274.9552718,50.0,32336578.1120053,56017.0,37476,63947.0
222,2020,ALABAMA,AL,COVINGTON,1039.0,DEMOCRAT,2721,37049.0,-5.0,560833590.8056637,50.0,414400769.4099431,57075.0,35150,60794.0
225,2020,ALABAMA,AL,COVINGTON,1039.0,OTHER,123,37049.0,-5.0,560833590.8056637,50.0,414400769.4099431,57075.0,35150,60794.0
228,2020,ALABAMA,AL,COVINGTON,1039.0,REPUBLICAN,14586,37049.0,-5.0,560833590.8056637,50.0,414400769.4099431,57075.0,35150,60794.0
231,2020,ALABAMA,AL,CRENSHAW,1041.0,DEMOCRAT,1700,13772.0,3.0,83003223.8964192,50.0,59731834.732345596,61468.0,47966,66682.0
232,2020,ALABAMA,AL,CRENSHAW,1041.0,OTHER,53,13772.0,3.0,83003223.8964192,50.0,59731834.732345596,61468.0,47966,66682.0
233,2020,ALABAMA,AL,CRENSHAW,1041.0,REPUBLICAN,4864,13772.0,3.0,83003223.8964192,50.0,59731834.732345596,61468.0,47966,66682.0
234,2020,ALABAMA,AL,CULLMAN,1043.0,DEMOCRAT,4478,83768.0,34.0,2831409146.3863425,50.0,2127214511.6055167,61920.0,50907,62594.0
235,2020,ALABAMA,AL,CULLMAN,1043.0,OTHER,493,83768.0,34.0,2831409146.3863425,50.0,2127214511.6055167,61920.0,50907,62594.0
236,2020,ALABAMA,AL,CULLMAN,1043.0,REPUBLICAN,36880,83768.0,34.0,2831409146.3863425,50.0,2127214511.6055167,61920.0,50907,62594.0
237,2020,ALABAMA,AL,DALE,1045.0,DEMOCRAT,5170,49172.0,18.0,1058758488.6239824,50.0,777361337.5296863,61001.0,48648,65921.0
238,2020,ALABAMA,AL,DALE,1045.0,OTHER,265,49172.0,18.0,1058758488.6239824,50.0,777361337.5296863,61001.0,48648,65921.0
239,2020,ALABAMA,AL,DALE,1045.0,REPUBLICAN,14303,49172.0,18.0,1058758488.6239824,50.0,777361337.5296863,61001.0,48648,65921.0
240,2020,ALABAMA,AL,DALLAS,1047.0,DEMOCRAT,12230,37196.0,5.0,547572744.8805743,383134854.82020956,50.0,47753.0,39144,67738.0
245,2020,ALABAMA,AL,DALLAS,1047.0,OTHER,110,37196.0,5.0,547572744.8805743,383134854.82020956,50.0,47753.0,39144,67738.0
250,2020,ALABAMA,AL,DALLAS,1047.0,REPUBLICAN,5524,37196.0,5.0,547572744.8805743,383134854.82020956,50.0,47753.0,39144,67738.0
255,2020,ALABAMA,AL,DEKALB,1049.0,DEMOCRAT,4281,71513.0,44.0,1914095483.0894804,50.0,1327796108.5732288,56777.0,36970,59359.0
261,2020,ALABAMA,AL,DEKALB,1049.0,OTHER,308,71513.0,44.0,1914095483.0894804,50.0,1327796108.5732288,56777.0,36970,59359.0
267,2020,ALABAMA,AL,DEKALB,1049.0,REPUBLICAN,24767,71513.0,44.0,1914095483.0894804,50.0,1327796108.5732288,56777.0,36970,59359.0
273,2020,ALABAMA,AL,ELMORE,1051.0,DEMOCRAT,10367,81209.0,25.0,2698360738.935607,50.0,1990669093.9393458,82576.0,61579,89085.0
275,2020,ALABAMA,AL,ELMORE,1051.0,OTHER,499,81209.0,25.0,2698360738.935607,50.0,1990669093.9393458,82576.0,61579,89085.0
277,2020,ALABAMA,AL,ELMORE,1051.0,REPUBLICAN,30164,81209.0,25.0,2698360738.935607,50.0,1990669093.9393458,82576.0,61579,89085.0
279,2020,ALABAMA,AL,ESCAMBIA,1053.0,DEMOCRAT,4918,36633.0,-1.0,568807421.2484931,50.0,352149981.7278546,50242.0,37092,57937.0
281,2020,ALABAMA,AL,ESCAMBIA,1053.0,OTHER,123,36633.0,-1.0,568807421.2484931,50.0,352149981.7278546,50242.0,37092,57937.0
283,2020,ALABAMA,AL,ESCAMBIA,1053.0,REPUBLICAN,10869,36633.0,-1.0,568807421.2484931,50.0,352149981.7278546,50242.0,37092,57937.0
285,2020,ALABAMA,AL,ETOWAH,1055.0,DEMOCRAT,11567,102268.0,37.0,3957362754.1350017,50.0,2901227298.1692753,59944.0,41337,64318.0
286,2020,ALABAMA,AL,ETOWAH,1055.0,OTHER,633,102268.0,37.0,3957362754.1350017,50.0,2901227298.1692753,59944.0,41337,64318.0
287,2020,ALABAMA,AL,ETOWAH,1055.0,REPUBLICAN,35528,102268.0,37.0,3957362754.1350017,50.0,2901227298.1692753,59944.0,41337,64318.0
288,2020,ALABAMA,AL,FAYETTE,1057.0,DEMOCRAT,1395,16302.0,5.0,93735368.4194928,50.0,68498908.7658876,53897.0,32000,57335.0
299,2020,ALABAMA,AL,FAYETTE,1057.0,OTHER,71,16302.0,5.0,93735368.4194928,50.0,68498908.7658876,53897.0,32000,57335.0
310,2020,ALABAMA,AL,FAYETTE,1057.0,REPUBLICAN,7300,16302.0,5.0,93735368.4194928,50.0,68498908.7658876,53897.0,32000,57335.0
321,2020,ALABAMA,AL,FRANKLIN,1059.0,DEMOCRAT,2086,31362.0,29.0,408359309.7628584,50.0,310690111.1786496,56907.0,49122,58400.0
347,2020,ALABAMA,AL,FRANKLIN,1059.0,OTHER,116,31362.0,29.0,408359309.7628584,50.0,310690111.1786496,56907.0,49122,58400.0
373,2020,ALABAMA,AL,FRANKLIN,1059.0,REPUBLICAN,10376,31362.0,29.0,408359309.7628584,50.0,310690111.1786496,56907.0,49122,58400.0
399,2020,ALABAMA,AL,GENEVA,1061.0,DEMOCRAT,1595,26271.0,-7.0,268483604.7659094,50.0,212239400.35014358,53077.0,38198,55244.0
400,2020,ALABAMA,AL,GENEVA,1061.0,OTHER,102,26271.0,-7.0,268483604.7659094,50.0,212239400.35014358,53077.0,38198,55244.0
401,2020,ALABAMA,AL,GENEVA,1061.0,REPUBLICAN,10848,26271.0,-7.0,268483604.7659094,50.0,212239400.35014358,53077.0,38198,55244.0
402,2020,ALABAMA,AL,GREENE,1063.0,DEMOCRAT,3884,8111.0,0.0,25324372.0784412,17283374.8077199,50.0,36431.0,29370,65925.0
416,2020,ALABAMA,AL,GREENE,1063.0,OTHER,16,8111.0,0.0,25324372.0784412,17283374.8077199,50.0,36431.0,29370,65925.0
430,2020,ALABAMA,AL,GREENE,1063.0,REPUBLICAN,875,8111.0,0.0,25324372.0784412,17283374.8077199,50.0,36431.0,29370,65925.0
444,2020,ALABAMA,AL,HALE,1065.0,DEMOCRAT,4663,14651.0,-3.0,86378997.1735145,66511835.336419195,50.0,51992.0,35091,76553.0
446,2020,ALABAMA,AL,HALE,1065.0,OTHER,45,14651.0,-3.0,86378997.1735145,66511835.336419195,50.0,51992.0,35091,76553.0
448,2020,ALABAMA,AL,HALE,1065.0,REPUBLICAN,3192,14651.0,-3.0,86378997.1735145,66511835.336419195,50.0,51992.0,35091,76553.0
450,2020,ALABAMA,AL,HENRY,1067.0,DEMOCRAT,2606,17205.0,-1.0,118087070.692365,50.0,89801404.83387001,62696.0,41762,70563.0
460,2020,ALABAMA,AL,HENRY,1067.0,OTHER,85,17205.0,-1.0,118087070.692365,50.0,89801404.83387001,62696.0,41762,70563.0
470,2020,ALABAMA,AL,HENRY,1067.0,REPUBLICAN,6607,17205.0,-1.0,118087070.692365,50.0,89801404.83387001,62696.0,41762,70563.0
480,2020,ALABAMA,AL,HOUSTON,1069.0,DEMOCRAT,12917,105882.0,11.0,4709076536.7953,50.0,3556302311.960622,69495.0,43355,81707.0
485,2020,ALABAMA,AL,HOUSTON,1069.0,OTHER,638,105882.0,11.0,4709076536.7953,50.0,3556302311.960622,69495.0,43355,81707.0
490,2020,ALABAMA,AL,HOUSTON,1069.0,REPUBLICAN,32618,105882.0,11.0,4709076536.7953,50.0,3556302311.960622,69495.0,43355,81707.0
495,2020,ALABAMA,AL,JACKSON,1071.0,DEMOCRAT,3717,51626.0,-7.0,1082957883.159576,50.0,784658191.5455164,54808.0,48121,55484.0
519,2020,ALABAMA,AL,JACKSON,1071.0,OTHER,249,51626.0,-7.0,1082957883.159576,50.0,784658191.5455164,54808.0,48121,55484.0
543,2020,ALABAMA,AL,JACKSON,1071.0,REPUBLICAN,19670,51626.0,-7.0,1082957883.159576,50.0,784658191.5455164,54808.0,48121,55484.0
567,2020,ALABAMA,AL,JEFFERSON,1073.0,DEMOCRAT,181688,658573.0,460.0,148426112039.39883,110665547530.84488,122434669702.59085,79833.0,56125,102950.0
595,2020,ALABAMA,AL,JEFFERSON,1073.0,OTHER,5317,658573.0,460.0,148426112039.39883,110665547530.84488,122434669702.59085,79833.0,56125,102950.0
623,2020,ALABAMA,AL,JEFFERSON,1073.0,REPUBLICAN,138843,658573.0,460.0,148426112039.39883,110665547530.84488,122434669702.59085,79833.0,56125,102950.0
651,2020,ALABAMA,AL,LAMAR,1075.0,DEMOCRAT,978,13805.0,-1.0,76964192.1419525,50.0,55890664.92933,54252.0,39513,56564.0
655,2020,ALABAMA,AL,LAMAR,1075.0,OTHER,41,13805.0,-1.0,76964192.1419525,50.0,55890664.92933,54252.0,39513,56564.0
659,2020,ALABAMA,AL,LAMAR,1075.0,REPUBLICAN,6174,13805.0,-1.0,76964192.1419525,50.0,55890664.92933,54252.0,39513,56564.0
663,2020,ALABAMA,AL,LAUDERDALE,1077.0,DEMOCRAT,11915,92729.0,35.0,3023449687.736514,50.0,2273516047.0029554,62091.0,43816,65078.0
666,2020,ALABAMA,AL,LAUDERDALE,1077.0,OTHER,703,92729.0,35.0,3023449687.736514,50.0,2273516047.0029554,62091.0,43816,65078.0
669,2020,ALABAMA,AL,LAUDERDALE,1077.0,REPUBLICAN,31721,92729.0,35.0,3023449687.736514,50.0,2273516047.0029554,62091.0,43816,65078.0
672,2020,ALABAMA,AL,LAWRENCE,1079.0,DEMOCRAT,3562,32924.0,-3.0,465148684.79980797,367454214.63678557,349117985.58085763,58315.0,56852,58753.0
683,2020,ALABAMA,AL,LAWRENCE,1079.0,OTHER,147,32924.0,-3.0,465148684.79980797,367454214.63678557,349117985.58085763,58315.0,56852,58753.0
694,2020,ALABAMA,AL,LAWRENCE,1079.0,REPUBLICAN,12322,32924.0,-3.0,465148684.79980797,367454214.63678557,349117985.58085763,58315.0,56852,58753.0
705,2020,ALABAMA,AL,LEE,1081.0,DEMOCRAT,27860,164542.0,303.0,10341847927.696894,50.0,8225126760.965987,78000.0,65892,82732.0
717,2020,ALABAMA,AL,LEE,1081.0,OTHER,1368,164542.0,303.0,10341847927.696894,50.0,8225126760.965987,78000.0,65892,82732.0
729,2020,ALABAMA,AL,LEE,1081.0,REPUBLICAN,42221,164542.0,303.0,10341847927.696894,50.0,8225126760.965987,78000.0,65892,82732.0
741,2020,ALABAMA,AL,LIMESTONE,1083.0,DEMOCRAT,13672,98915.0,32.0,4075994303.83364,50.0,3116589194.5172596,83580.0,73900,85725.0
743,2020,ALABAMA,AL,LIMESTONE,1083.0,OTHER,923,98915.0,32.0,4075994303.83364,50.0,3116589194.5172596,83580.0,73900,85725.0
745,2020,ALABAMA,AL,LIMESTONE,1083.0,REPUBLICAN,34640,98915.0,32.0,4075994303.83364,50.0,3116589194.5172596,83580.0,73900,85725.0
747,2020,ALABAMA,AL,LOWNDES,1085.0,DEMOCRAT,4972,9726.0,-1.0,38373476.3681904,22334947.4489436,25652898.118166402,47139.0,36481,78432.0
750,2020,ALABAMA,AL,LOWNDES,1085.0,OTHER,27,9726.0,-1.0,38373476.3681904,22334947.4489436,25652898.118166402,47139.0,36481,78432.0
753,2020,ALABAMA,AL,LOWNDES,1085.0,REPUBLICAN,1836,9726.0,-1.0,38373476.3681904,22334947.4489436,25652898.118166402,47139.0,36481,78432.0
756,2020,ALABAMA,AL,MACON,1087.0,DEMOCRAT,7108,18068.0,1.0,122494067.26248479,73511124.1965184,50.0,50091.0,48519,57468.0
762,2020,ALABAMA,AL,MACON,1087.0,OTHER,74,18068.0,1.0,122494067.26248479,73511124.1965184,50.0,50091.0,48519,57468.0
768,2020,ALABAMA,AL,MACON,1087.0,REPUBLICAN,1541,18068.0,1.0,122494067.26248479,73511124.1965184,50.0,50091.0,48519,57468.0
774,2020,ALABAMA,AL,MADISON,1089.0,DEMOCRAT,87286,372909.0,230.0,51156303804.61365,33076633550.167362,42482241147.32622,88904.0,69292,98821.0
794,2020,ALABAMA,AL,MADISON,1089.0,OTHER,4701,372909.0,230.0,51156303804.61365,33076633550.167362,42482241147.32622,88904.0,69292,98821.0
814,2020,ALABAMA,AL,MADISON,1089.0,REPUBLICAN,102780,372909.0,230.0,51156303804.61365,33076633550.167362,42482241147.32622,88904.0,69292,98821.0
834,2020,ALABAMA,AL,MARENGO,1091.0,DEMOCRAT,5488,18863.0,3.0,156818998.4201074,123598112.2670996,87274823.41862701,54556.0,42686,70338.0
835,2020,ALABAMA,AL,MARENGO,1091.0,OTHER,69,18863.0,3.0,156818998.4201074,123598112.2670996,87274823.41862701,54556.0,42686,70338.0
836,2020,ALABAMA,AL,MARENGO,1091.0,REPUBLICAN,5343,18863.0,3.0,156818998.4201074,123598112.2670996,87274823.41862701,54556.0,42686,70338.0
837,2020,ALABAMA,AL,MARION,1093.0,DEMOCRAT,1463,29709.0,3.0,314171226.0890991,50.0,220164724.8276192,50367.0,35476,51381.0
854,2020,ALABAMA,AL,MARION,1093.0,OTHER,139,29709.0,3.0,314171226.0890991,50.0,220164724.8276192,50367.0,35476,51381.0
871,2020,ALABAMA,AL,MARION,1093.0,REPUBLICAN,12205,29709.0,3.0,314171226.0890991,50.0,220164724.8276192,50367.0,35476,51381.0
888,2020,ALABAMA,AL,MARSHALL,1095.0,DEMOCRAT,5943,96774.0,65.0,3496645222.534278,50.0,2566163200.4568825,63823.0,64015,63792.0
900,2020,ALABAMA,AL,MARSHALL,1095.0,OTHER,521,96774.0,65.0,3496645222.534278,50.0,2566163200.4568825,63823.0,64015,63792.0
912,2020,ALABAMA,AL,MARSHALL,1095.0,REPUBLICAN,33191,96774.0,65.0,3496645222.534278,50.0,2566163200.4568825,63823.0,64015,63792.0
924,2020,ALABAMA,AL,MOBILE,1097.0,DEMOCRAT,79474,413210.0,266.0,63100197413.96035,44168661267.11178,52905230791.15099,64556.0,47658,76669.0
925,2020,ALABAMA,AL,MOBILE,1097.0,OTHER,2447,413210.0,266.0,63100197413.96035,44168661267.11178,52905230791.15099,64556.0,47658,76669.0
926,2020,ALABAMA,AL,MOBILE,1097.0,REPUBLICAN,101243,413210.0,266.0,63100197413.96035,44168661267.11178,52905230791.15099,64556.0,47658,76669.0
927,2020,ALABAMA,AL,MONROE,1099.0,DEMOCRAT,4455,20733.0,-2.0,186752015.03479677,130259783.24285668,137028745.9727397,48659.0,32475,62899.0
944,2020,ALABAMA,AL,MONROE,1099.0,OTHER,66,20733.0,-2.0,186752015.03479677,130259783.24285668,137028745.9727397,48659.0,32475,62899.0
961,2020,ALABAMA,AL,MONROE,1099.0,REPUBLICAN,6147,20733.0,-2.0,186752015.03479677,130259783.24285668,137028745.9727397,48659.0,32475,62899.0
978,2020,ALABAMA,AL,MONTGOMERY,1101.0,DEMOCRAT,64529,226486.0,321.0,17730363983.266747,13133332412.148438,14875813376.84,72113.0,56444,99514.0
996,2020,ALABAMA,AL,MONTGOMERY,1101.0,OTHER,1299,226486.0,321.0,17730363983.266747,13133332412.148438,14875813376.84,72113.0,56444,99514.0
1014,2020,ALABAMA,AL,MONTGOMERY,1101.0,REPUBLICAN,33311,226486.0,321.0,17730363983.266747,13133332412.148438,14875813376.84,72113.0,56444,99514.0
1032,2020,ALABAMA,AL,MORGAN,1103.0,DEMOCRAT,13234,119679.0,113.0,5635656942.47206,50.0,4580422460.602034,73817.0,55320,79073.0
1043,2020,ALABAMA,AL,MORGAN,1103.0,OTHER,824,119679.0,113.0,5635656942.47206,50.0,4580422460.602034,73817.0,55320,79073.0
1054,2020,ALABAMA,AL,MORGAN,1103.0,REPUBLICAN,39664,119679.0,113.0,5635656942.47206,50.0,4580422460.602034,73817.0,55320,79073.0
1065,2020,ALABAMA,AL,PERRY,1105.0,DEMOCRAT,3860,8923.0,2.0,34214188.3079581,24621420.0221801,50.0,35819.0,30276,47057.0
1075,2020,ALABAMA,AL,PERRY,1105.0,OTHER,31,8923.0,2.0,34214188.3079581,24621420.0221801,50.0,35819.0,30276,47057.0
1085,2020,ALABAMA,AL,PERRY,1105.0,REPUBLICAN,1339,8923.0,2.0,34214188.3079581,24621420.0221801,50.0,35819.0,30276,47057.0
1095,2020,ALABAMA,AL,PICKENS,1107.0,DEMOCRAT,4022,19930.0,14.0,191754081.43714,141036536.85525,143897603.74995,56370.0,33764,73424.0
1098,2020,ALABAMA,AL,PICKENS,1107.0,OTHER,52,19930.0,14.0,191754081.43714,141036536.85525,143897603.74995,56370.0,33764,73424.0
1101,2020,ALABAMA,AL,PICKENS,1107.0,REPUBLICAN,5594,19930.0,14.0,191754081.43714,141036536.85525,143897603.74995,56370.0,33764,73424.0
1104,2020,ALABAMA,AL,PIKE,1109.0,DEMOCRAT,5636,33114.0,79.0,453283393.1028912,50.0,362031229.10126525,57838.0,41986,69242.0
1114,2020,ALABAMA,AL,PIKE,1109.0,OTHER,163,33114.0,79.0,453283393.1028912,50.0,362031229.10126525,57838.0,41986,69242.0
1124,2020,ALABAMA,AL,PIKE,1109.0,REPUBLICAN,8042,33114.0,79.0,453283393.1028912,50.0,362031229.10126525,57838.0,41986,69242.0
1134,2020,ALABAMA,AL,RANDOLPH,1111.0,DEMOCRAT,2203,22722.0,-6.0,206809069.1711688,50.0,147406476.2798376,58836.0,37341,65019.0
1142,2020,ALABAMA,AL,RANDOLPH,1111.0,OTHER,75,22722.0,-6.0,206809069.1711688,50.0,147406476.2798376,58836.0,37341,65019.0
1150,2020,ALABAMA,AL,RANDOLPH,1111.0,REPUBLICAN,8559,22722.0,-6.0,206809069.1711688,50.0,147406476.2798376,58836.0,37341,65019.0
1158,2020,ALABAMA,AL,RUSSELL,1113.0,DEMOCRAT,11228,57961.0,-49.0,1425978946.2125044,1069609602.1578497,975332248.5382746,55932.0,54048,57928.0
1162,2020,ALABAMA,AL,RUSSELL,1113.0,OTHER,237,57961.0,-49.0,1425978946.2125044,1069609602.1578497,975332248.5382746,55932.0,54048,57928.0
